time,UX,UY,UZ,RX,RY,RZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12015331563074484,0.2208780708213469,-0.10007766544146637,0.0,0.0,0.0,2.9616626243299798e-08
0.24030663126148968,1.0804579700827002,-0.46972909325738577,0.0,0.0,0.0,3.2958800355240046e-07
0.36045994689223454,2.7673260454028465,-1.1191028210172043,0.0,0.0,0.0,1.4149572969012711e-06
0.48061326252297937,5.334295515191756,-1.935838491168563,0.0,0.0,0.0,3.585485588284422e-06
0.6007665781537243,8.893595110187585,-2.831734082277448,0.0,0.0,0.0,6.660811458427605e-06
0.7209198937844691,13.519921774533582,-3.696855797994913,0.0,0.0,0.0,1.0465571984922915e-05
0.8410732094152139,19.302721249050855,-4.340721397716969,0.0,0.0,0.0,1.4577234254566184e-05
0.9612265250459587,26.48331415060668,-4.573867949895417,0.0,0.0,0.0,1.7624965834692042e-05
1.0813798406767037,35.425518616723,-4.293101341890096,0.0,0.0,0.0,1.8060067560201604e-05
1.2015331563074485,46.2383735769956,-3.4928400409909255,0.0,0.0,0.0,1.6182263248408297e-05
1.3216864719381933,58.338572891404624,-2.273570507582586,0.0,0.0,0.0,1.6454628943344998e-05
1.4418397875689382,70.68320775518588,-0.7784923417715854,0.0,0.0,0.0,2.52559729767896e-05
1.561993103199683,82.64571241724252,0.8499029134650555,0.0,0.0,0.0,4.260453962026388e-05
1.6821464188304278,94.23591688734477,2.4415133489272827,0.0,0.0,0.0,6.072126450347915e-05
1.8022997344611726,105.27708227746851,3.87629900652783,0.0,0.0,0.0,7.436037783197778e-05
1.9224530500919175,115.07648176938947,5.180561737584464,0.0,0.0,0.0,8.740358719326491e-05
